X,Y,OBJECTID,location,county,feedID,url,iframe,lat,long,rtsp_uri,Notes
-8503572.337,4720926.745,1,WPL C506 at Gantry S-9 MP 33.6,Anne Arundel County,dd0157c42d7c001300503336c4235c0a,https://chart.maryland.gov/video/video.php?feed=dd0157c42d7c001300503336c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=dd0157c42d7c001300503336c4235c0a"" frame border=""0"" allowfullscreen></iframe>",38.9948,-76.38889,rtsp://strmr3.sha.maryland.gov:1935/rtplive/dd0157c42d7c001300503336c4235c0a,
-8540381.24,4753624.699,2,I895 @ I95 Interchange (South Baltimore - C043-Cen)MP 0.3,Howard County,c200dc0dc37401b8004606363d235daa,https://chart.maryland.gov/video/video.php?feed=c200dc0dc37401b8004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=c200dc0dc37401b8004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.22272,-76.71955,rtsp://strmr5.sha.maryland.gov:1935/rtplive/c200dc0dc37401b8004606363d235daa,
-8461942.187,4809275.022,3,I-95 S of Chesapeake H. (C006) MP 96.1,Cecil County,c201714c00e30039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=c201714c00e30039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=c201714c00e30039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.608932,-76.01492,rtsp://strmr5.sha.maryland.gov:1935/rtplive/c201714c00e30039004606363d235daa,
-8504145.632,4792419.359,4,US 1 AT MD 152,Harford County,dbff0b9400bf00580045e2369e235daa,https://chart.maryland.gov/video/video.php?feed=dbff0b9400bf00580045e2369e235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=dbff0b9400bf00580045e2369e235daa"" frame border=""0"" allowfullscreen></iframe>",39.49218,-76.39404,rtsp://strmr5.sha.maryland.gov:1935/rtplive/dbff0b9400bf00580045e2369e235daa,Grayscale
-8600047.374,4748081.757,5,I-270 & Germantown Rd (MD 118),Montgomery County,8601655500f60074004d823633235daa,https://chart.maryland.gov/video/video.php?feed=8601655500f60074004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=8601655500f60074004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.184135,-77.25554,rtsp://strmr5.sha.maryland.gov:1935/rtplive/8601655500f60074004d823633235daa,
-8603324.62,4754885.7,6,I-270 AT MD 121 CLARKSBURG RD,Montgomery County,2d00cd8100080075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=2d00cd8100080075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=2d00cd8100080075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.231495,-77.28498,rtsp://strmr5.sha.maryland.gov:1935/rtplive/2d00cd8100080075004d823633235daa,
-8532189.907,4743557.003,7,I-97 AT MD 100 | 502018,Anne Arundel County,bb01295800f700d700437a45351f0214,https://chart.maryland.gov/video/video.php?feed=bb01295800f700d700437a45351f0214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=bb01295800f700d700437a45351f0214"" frame border=""0"" allowfullscreen></iframe>",39.152622,-76.645966,rtsp://strmr5.sha.maryland.gov:1935/rtplive/bb01295800f700d700437a45351f0214,Top-left corner obstruction (05/18/2020); shaky camera with focus issues
-8467019.469,4689087.225,8,US 50 AT MD 331,Talbot County,6d0027da0096007b00488436cf235d0a,https://chart.maryland.gov/video/video.php?feed=6d0027da0096007b00488436cf235d0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=6d0027da0096007b00488436cf235d0a"" frame border=""0"" allowfullscreen></iframe>",38.772156,-76.06053,rtsp://strmr5.sha.maryland.gov:1935/rtplive/6d0027da0096007b00488436cf235d0a,
-8582156.105,4719463.031,9,East-West Hwy (MD 410) & Wisconsin Ave (MD 355),Montgomery County,efff918500020075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=efff918500020075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=efff918500020075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",38.98458,-77.09482,rtsp://strmr5.sha.maryland.gov:1935/rtplive/efff918500020075004d823633235daa,
-8535043.47,4759394.691,10,I-95 S of Caton Ave Ex 50 (C032) - MP 49.9,Baltimore City,cc006eaf019000e300441a366e230214,https://chart.maryland.gov/video/video.php?feed=cc006eaf019000e300441a366e230214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=cc006eaf019000e300441a366e230214"" frame border=""0"" allowfullscreen></iframe>",39.262863,-76.6716,rtsp://strmr5.sha.maryland.gov:1935/rtplive/cc006eaf019000e300441a366e230214,
-8473500.49,4804577.787,11,I-95 S of Tydings Br. (C011) MP 90.0,Harford County,9d016d2b00e30039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=9d016d2b00e30039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=9d016d2b00e30039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.576416,-76.11875,rtsp://strmr5.sha.maryland.gov:1935/rtplive/9d016d2b00e30039004606363d235daa,
-8379062.6,4631615.514,12,US 50 E AT MD 90,Worcester County,58004a9f0099007b00488436cf235d0a,https://chart.maryland.gov/video/video.php?feed=58004a9f0099007b00488436cf235d0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=58004a9f0099007b00488436cf235d0a"" frame border=""0"" allowfullscreen></iframe>",38.36851,-75.2704,rtsp://strmr3.sha.maryland.gov:1935/rtplive/58004a9f0099007b00488436cf235d0a,
-8517680.413,4720785.806,13,US 50 AT Ex 24 MD 70 Rowe Blvd,Anne Arundel County,fa0017fb008d004b004af03676235daa,https://chart.maryland.gov/video/video.php?feed=fa0017fb008d004b004af03676235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=fa0017fb008d004b004af03676235daa"" frame border=""0"" allowfullscreen></iframe>",38.993816,-76.515625,rtsp://strmr5.sha.maryland.gov:1935/rtplive/fa0017fb008d004b004af03676235daa,
-8642767.342,4805938.944,14,I-70 AT EXIT 35 MD 66 MAPLEVILLE RD (WB),Washington County,bd00eec8003600fd0057fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=bd00eec8003600fd0057fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=bd00eec8003600fd0057fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.58584,-77.6393,N/A,
-8588498.422,4723004.378,15,I-495 AT BRADLEY BLVD,Montgomery County,1f018d5800f700d700437a45351f0214,https://chart.maryland.gov/video/video.php?feed=1f018d5800f700d700437a45351f0214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=1f018d5800f700d700437a45351f0214"" frame border=""0"" allowfullscreen></iframe>",39.009304,-77.151794,rtsp://strmr5.sha.maryland.gov:1935/rtplive/1f018d5800f700d700437a45351f0214,
-8534605.985,4755099.547,16,I-895 at I-695 Interchange MP 3.50 (C045),Baltimore County,9000f4c3c37401b8004606363d235daa,https://chart.maryland.gov/video/video.php?feed=9000f4c3c37401b8004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=9000f4c3c37401b8004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.232983,-76.66767,rtsp://strmr5.sha.maryland.gov:1935/rtplive/9000f4c3c37401b8004606363d235daa,
-8569587.022,4721886.867,17,New Hampshire Ave (MD 650) & Piney Branch Rd (MD 320),Prince George's County,4e00a5cd00050075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=4e00a5cd00050075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=4e00a5cd00050075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.001503,-76.98191,rtsp://strmr5.sha.maryland.gov:1935/rtplive/4e00a5cd00050075004d823633235daa,
-8516661.283,4771334.833,18,I-95 S of I-695 (C026) I-95 N of Kenwood Ave (MP 63.1),Baltimore County,2f009e8a00e50039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=2f009e8a00e50039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=2f009e8a00e50039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.34586,-76.50647,rtsp://strmr5.sha.maryland.gov:1935/rtplive/2f009e8a00e50039004606363d235daa,
-8522740.44,4759869.742,19,I-895 N of Baltimore Harbor Tunnel (C036) MP 10.6,Baltimore City,0b017ae1019100e300441a366e230214,https://chart.maryland.gov/video/video.php?feed=0b017ae1019100e300441a366e230214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=0b017ae1019100e300441a366e230214"" frame border=""0"" allowfullscreen></iframe>",39.266167,-76.56108,N/A,
-8519503.269,4752523.195,20,I-695 I/L Pier #16,Baltimore City,4e022563017c00790053fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=4e022563017c00790053fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=4e022563017c00790053fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.215054,-76.532,rtsp://strmr3.sha.maryland.gov:1935/rtplive/4e022563017c00790053fa36c4235c0a,
-8378976.884,4631642.491,21,US 50 W AT MD 90,Worcester County,f100453d0099007b00488436cf235d0a,https://chart.maryland.gov/video/video.php?feed=f100453d0099007b00488436cf235d0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=f100453d0099007b00488436cf235d0a"" frame border=""0"" allowfullscreen></iframe>",38.3687,-75.26963,rtsp://strmr3.sha.maryland.gov:1935/rtplive/f100453d0099007b00488436cf235d0a,
-8580254.323,4719900.834,22,Connecticut Ave (MD 185) & East-West Hwy (MD 410),Montgomery County,0b01b57900060075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=0b01b57900060075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=0b01b57900060075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",38.987637,-77.077736,rtsp://strmr5.sha.maryland.gov:1935/rtplive/0b01b57900060075004d823633235daa,
-8479256.375,4718736.981,23,US 50 W OF US 301 SPLIT,Queen Anne's County,40000a9300320014004a8436cf235d0a,https://chart.maryland.gov/video/video.php?feed=40000a9300320014004a8436cf235d0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=40000a9300320014004a8436cf235d0a"" frame border=""0"" allowfullscreen></iframe>",38.97951,-76.170456,rtsp://strmr3.sha.maryland.gov:1935/rtplive/40000a9300320014004a8436cf235d0a,
-8788753.948,4813910.135,24,I-68 AT EXIT 33 MD 736 MIDLOTHIAN RD (EB),Allegany County,8a00eb0900bf00030057fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=8a00eb0900bf00030057fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=8a00eb0900bf00030057fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.641003,-78.95072,N/A,
-8562839.947,4695967.68,25,I-95/495 AT MD-5,Prince George's County,76001126000a000e004ee33696235daa,https://chart.maryland.gov/video/video.php?feed=76001126000a000e004ee33696235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=76001126000a000e004ee33696235daa"" frame border=""0"" allowfullscreen></iframe>",38.820328,-76.9213,rtsp://strmr5.sha.maryland.gov:1935/rtplive/76001126000a000e004ee33696235daa,VIDEO UNAVAILABLE (05/18/2020)
-8516232.703,4766490,26,I-695 PRIOR TO CHESACO AVE,Baltimore County,b700e75ce1df03c4004a06363d235daa,https://chart.maryland.gov/video/video.php?feed=b700e75ce1df03c4004a06363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=b700e75ce1df03c4004a06363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.312195,-76.50262,rtsp://strmr5.sha.maryland.gov:1935/rtplive/b700e75ce1df03c4004a06363d235daa,
-8577731.155,4727404.283,27,University Blvd (MD 193) & Veirs Mill Rd (MD 586),Montgomery County,0c0159ba01210075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=0c0159ba01210075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=0c0159ba01210075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.04001,-77.05507,rtsp://strmr5.sha.maryland.gov:1935/rtplive/0c0159ba01210075004d823633235daa,
-8571846.251,4732500.681,28,New Hampshire Ave (MD 650) & Randolph Rd,Montgomery County,5e0089a0025c0075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=5e0089a0025c0075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=5e0089a0025c0075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.07556,-77.002205,rtsp://strmr5.sha.maryland.gov:1935/rtplive/5e0089a0025c0075004d823633235daa,
-8481415.306,4750116.713,29,RWIS MD-20 AT MD-21,Kent County,85000982013700f20053fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=85000982013700f20053fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=85000982013700f20053fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.198303,-76.18985,rtsp://strmr3.sha.maryland.gov:1935/rtplive/85000982013700f20053fa36c4235c0a,
-8748942.759,4799600.251,30,RWIS MD-51 AT OLDTOWN SALT DOME,Allegany County,b200c8ac005700170053fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=b200c8ac005700170053fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=b200c8ac005700170053fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.541943,-78.59309,rtsp://strmr3.sha.maryland.gov:1935/rtplive/b200c8ac005700170053fa36c4235c0a,
-8585807.385,4726101.566,31,Old Georgetown Rd (MD 187) & I-270,Montgomery County,a900598700f30074004d823633235daa,https://chart.maryland.gov/video/video.php?feed=a900598700f30074004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=a900598700f30074004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.03092,-77.12762,rtsp://strmr5.sha.maryland.gov:1935/rtplive/a900598700f30074004d823633235daa,
-8474857.474,4804481.889,32,I-95 N of Lapidum Rd (C012) MP 89.4,Harford County,f000856500e40039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=f000856500e40039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=f000856500e40039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.575752,-76.13094,rtsp://strmr5.sha.maryland.gov:1935/rtplive/f000856500e40039004606363d235daa,
-8460265.716,4810326.265,33,I-95 N of Chesapeake H. (C005) MP 97.1,Cecil County,480169db00e20039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=480169db00e20039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=480169db00e20039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.616207,-75.99986,rtsp://strmr5.sha.maryland.gov:1935/rtplive/480169db00e20039004606363d235daa,
-8498853.504,4784791.427,34,MD 152 E. of I-95 JOPPA TWR,Harford County,1b0011cc006300800045833633235daa,https://chart.maryland.gov/video/video.php?feed=1b0011cc006300800045833633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=1b0011cc006300800045833633235daa"" frame border=""0"" allowfullscreen></iframe>",39.43928,-76.3465,rtsp://strmr5.sha.maryland.gov:1935/rtplive/1b0011cc006300800045833633235daa,
-8523196.85,4751087.799,35,I-695 W of Quarantine Rd (C050) MP 50.4,Baltimore City,aa002ea0c47601b8004606363d235daa,https://chart.maryland.gov/video/video.php?feed=aa002ea0c47601b8004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=aa002ea0c47601b8004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.205063,-76.56518,rtsp://strmr5.sha.maryland.gov:1935/rtplive/aa002ea0c47601b8004606363d235daa,
-8521899.978,4761953.098,36,I-895 S of O'Donnell St (C035) MP 11.8,Baltimore City,b8007791019100e300441a366e230214,https://chart.maryland.gov/video/video.php?feed=b8007791019100e300441a366e230214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=b8007791019100e300441a366e230214"" frame border=""0"" allowfullscreen></iframe>",39.280655,-76.55353,rtsp://strmr5.sha.maryland.gov:1935/rtplive/b8007791019100e300441a366e230214,
-8367657.918,4628485.552,37,US 50 AT RACETRACK RD,Worcester County,3200db9600fb00f30056fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=3200db9600fb00f30056fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=3200db9600fb00f30056fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",38.346462,-75.16795,N/A,
-8523402.791,4759491.31,38,I-95 FMT East Vent Bldg Roof Top (C039) MP 55.9,Baltimore City,47017d19019200e300441a366e230214,https://chart.maryland.gov/video/video.php?feed=47017d19019200e300441a366e230214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=47017d19019200e300441a366e230214"" frame border=""0"" allowfullscreen></iframe>",39.263535,-76.56703,rtsp://strmr5.sha.maryland.gov:1935/rtplive/47017d19019200e300441a366e230214,
-8571419.34,4692558.009,39,MD 210 S of I-95/495,Prince George's County,5b00069600230088004502366d235daa,https://chart.maryland.gov/video/video.php?feed=5b00069600230088004502366d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=5b00069600230088004502366d235daa"" frame border=""0"" allowfullscreen></iframe>",38.79646,-76.99837,N/A,
-8822268.351,4821421.552,40,I-68 AT US-219 (Keyser's Ridge TWR),Garrett County,0e0109d100f1003d00471536ea235d0a,https://chart.maryland.gov/video/video.php?feed=0e0109d100f1003d00471536ea235d0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=0e0109d100f1003d00471536ea235d0a"" frame border=""0"" allowfullscreen></iframe>",39.692944,-79.251785,rtsp://strmr5.sha.maryland.gov:1935/rtplive/0e0109d100f1003d00471536ea235d0a,
-8524800.964,4780460.217,41,I-695 AT PROVIDENCE RD,Baltimore County,52ff0db500bd00a8004be2369e235daa,https://chart.maryland.gov/video/video.php?feed=52ff0db500bd00a8004be2369e235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=52ff0db500bd00a8004be2369e235daa"" frame border=""0"" allowfullscreen></iframe>",39.409225,-76.57959,rtsp://strmr5.sha.maryland.gov:1935/rtplive/52ff0db500bd00a8004be2369e235daa,
-8598681.484,4749218.541,42,Frederick Rd (MD 355) & Germantown Rd (MD 118),Montgomery County,0601b17800060075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=0601b17800060075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=0601b17800060075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.19205,-77.24327,rtsp://strmr5.sha.maryland.gov:1935/rtplive/0601b17800060075004d823633235daa,
-8581264.436,4722733.907,43,I-495 W. OF CONN AVE,Montgomery County,e301515800f700d700437a45351f0214,https://chart.maryland.gov/video/video.php?feed=e301515800f700d700437a45351f0214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=e301515800f700d700437a45351f0214"" frame border=""0"" allowfullscreen></iframe>",39.007416,-77.08681,rtsp://strmr5.sha.maryland.gov:1935/rtplive/e301515800f700d700437a45351f0214,
-8762561.585,4818640.826,44,I-68 AT US 220,Allegany County,daffdc99009b00f60057fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=daffdc99009b00f60057fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=daffdc99009b00f60057fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.67372,-78.71543,N/A,
-8716662.333,4824162.824,45,"I-68 EXIT 74, MOUNTAIN RD",Washington County,1301e837002300fd0057fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=1301e837002300fd0057fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=1301e837002300fd0057fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.71189,-78.30311,N/A,
-8518844.258,4768456.291,46,"I-95 NB, S of Chesaco Ave MM 61.4 (C027C)",Baltimore County,7d004bd400b500a5004e3336c4235c0a,https://chart.maryland.gov/video/video.php?feed=7d004bd400b500a5004e3336c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=7d004bd400b500a5004e3336c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.32586,-76.52608,rtsp://strmr5.sha.maryland.gov:1935/rtplive/7d004bd400b500a5004e3336c4235c0a,
-8504902.605,4722112.05,47,WPL C504 at Gantry S-4 MP 32.7,Anne Arundel County,ed01636a2ed2001a00503336c4235c0a,https://chart.maryland.gov/video/video.php?feed=ed01636a2ed2001a00503336c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=ed01636a2ed2001a00503336c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.003075,-76.40084,rtsp://strmr3.sha.maryland.gov:1935/rtplive/ed01636a2ed2001a00503336c4235c0a,
-8565943.535,4695537.908,48,I-95/495 AT TEMPLE HILLS RD,Prince George's County,bd00080800ec00a8004a02366d235daa,https://chart.maryland.gov/video/video.php?feed=bd00080800ec00a8004a02366d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=bd00080800ec00a8004a02366d235daa"" frame border=""0"" allowfullscreen></iframe>",38.81732,-76.94918,rtsp://strmr5.sha.maryland.gov:1935/rtplive/bd00080800ec00a8004a02366d235daa,
-8552214.502,4714114.108,49,US 50 AT LOTTSFORD VISTA RD,Prince George's County,d2ff0e21009700e9004ae33696235daa,https://chart.maryland.gov/video/video.php?feed=d2ff0e21009700e9004ae33696235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=d2ff0e21009700e9004ae33696235daa"" frame border=""0"" allowfullscreen></iframe>",38.94722,-76.82585,rtsp://strmr5.sha.maryland.gov:1935/rtplive/d2ff0e21009700e9004ae33696235daa,
-8515882.046,4723272.708,50,US 50 E. OF SEVERN RIV,Anne Arundel County,7401e25800f700d700437a45351f0214,https://chart.maryland.gov/video/video.php?feed=7401e25800f700d700437a45351f0214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=7401e25800f700d700437a45351f0214"" frame border=""0"" allowfullscreen></iframe>",39.011177,-76.49947,N/A,
-8639150.571,4798930.04,51,RWIS US 40 AT FRED/WASH CO. LINE,Washington County,7f01ae3d006200620053fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=7f01ae3d006200620053fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=7f01ae3d006200620053fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.5373,-77.60681,rtsp://strmr3.sha.maryland.gov:1935/rtplive/7f01ae3d006200620053fa36c4235c0a,
-8475906.772,4803322.81,52,I-95 S of Md 155  (C013) MP 88.6,Harford County,6a0091d300e40039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=6a0091d300e40039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=6a0091d300e40039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.567726,-76.140366,rtsp://strmr5.sha.maryland.gov:1935/rtplive/6a0091d300e40039004606363d235daa,
